prodcode,gemscriptcode,productname,drugsubstance,strength,formulation,route
28874,59858020,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (IVAX Pharmaceuticals UK Ltd),Amoxicillin trihydrate/Potassium clavulanate,25mg/1ml + 6.25mg/1ml,Oral suspension,Oral
28875,48646020,Amoxicillin 125mg/5ml oral suspension (Ranbaxy (UK) Ltd),Amoxicillin trihydrate,25mg/1ml,Oral suspension,Oral
28882,48597020,Amoxicillin 250mg Capsule (Crosspharma Ltd),Amoxicillin trihydrate,250mg,Capsule,Oral
28896,64722020,Mezlocillin 1g/vial Injection,Mezlocillin,1g/vial,Injection,
28919,51430020,Ampicillin 250mg / Cloxacillin 250mg/vial injection,Cloxacillin/Ampicillin,250mg + 250mg/vial,Injection,
29337,62861020,Amoxicillin 125mg/5ml Oral solution (Neo Laboratories Ltd),Amoxicillin trihydrate,25mg/1ml,Oral suspension,Oral
29353,61885020,Co-amoxiclav 500mg/125mg tablets (Teva UK Ltd),Amoxicillin trihydrate/Potassium clavulanate,500mg + 125mg,Tablet,Oral
29356,59857020,Co-amoxiclav 500mg/125mg tablets (IVAX Pharmaceuticals UK Ltd),Amoxicillin trihydrate/Potassium clavulanate,500mg + 125mg,Tablet,Oral
29463,48619020,Amoxicillin 500mg capsules (IVAX Pharmaceuticals UK Ltd),Amoxicillin trihydrate,500mg,Capsule,Oral
29474,67573020,Amoxicillin 1000mg with clavulanic acid 100mg/vial injection,Potassium Clavulanate/Amoxicillin Sodium,1g + 200mg/vial,Injection,
29545,48530020,Calthor 500mg Tablet (Wyeth Pharmaceuticals),Ciclacillin,500mg,Tablet,Oral
29697,63152020,Amopen 125mg/5ml Liquid (Yorkshire Pharmaceuticals Ltd),Amoxicillin trihydrate,25mg/1ml,Oral suspension,Oral
29858,59322020,Amoxicillin 125mg/5ml oral suspension sugar free (Sandoz Ltd),Amoxicillin trihydrate,25mg/1ml,Oral suspension,Oral
30498,63150020,Amopen 250mg Capsule (Yorkshire Pharmaceuticals Ltd),Amoxicillin trihydrate,250mg,Capsule,Oral
30528,48612020,Amoxicillin 250mg capsules (Kent Pharmaceuticals Ltd),Amoxicillin trihydrate,250mg,Capsule,Oral
30630,54594020,Penbritin 250mg/vial Injection (Beecham Research Laboratories),Ampicillin Sodium,250mg/vial,Injection,
30696,64320020,Mecillinam 400mg/vial Injection,Mecillinam,400mg/vial,Injection,
30705,61480020,Co-amoxiclav 500mg/125mg tablets (Mylan),Amoxicillin trihydrate/Potassium clavulanate,500mg + 125mg,Tablet,Oral
30743,48644020,Amoxicillin 250mg capsules (Ranbaxy (UK) Ltd),Amoxicillin trihydrate,250mg,Capsule,Oral
30745,60194020,Amoxicillin 250mg capsules (Mylan),Amoxicillin trihydrate,250mg,Capsule,Oral
30783,59996020,Co-amoxiclav 250mg/125mg tablets (Ranbaxy (UK) Ltd),Amoxicillin trihydrate/Potassium clavulanate,250mg + 125mg,Tablet,Oral
30786,61075020,Co-amoxiclav 250mg/125mg tablets (A A H Pharmaceuticals Ltd),Amoxicillin trihydrate/Potassium clavulanate,250mg + 125mg,Tablet,Oral
31014,60211020,Amoxicillin 125mg/5ml oral suspension sugar free (Mylan),Amoxicillin trihydrate,25mg/1ml,Oral suspension,Oral
31154,85594020,Ampitrin 500mg Capsule (OPD Pharm),Ampicillin,500mg,Capsule,Oral
31156,85593020,Ampitrin 250mg Capsule (OPD Pharm),Ampicillin,250mg,Capsule,Oral
31281,89281020,Penbritin 500mg capsules (Chemidex Pharma Ltd),Ampicillin,500mg,Capsule,Oral
31286,56737020,Amoxymed 125mg/5ml Oral solution (Medipharma Ltd),Amoxicillin trihydrate,25mg/1ml,Oral suspension,Oral
31423,63082020,Amopen 250mg/5ml Liquid (Yorkshire Pharmaceuticals Ltd),Amoxicillin trihydrate,50mg/1ml,Oral suspension,Oral
31471,52269020,Vidopen 250mg/5ml Oral solution (Berk Pharmaceuticals Ltd),Ampicillin,50mg/1ml,Oral suspension,Oral
31473,74726020,Vidopen 250mg/vial Injection (Berk Pharmaceuticals Ltd),Ampicillin Sodium,250mg/vial,Injection,
31535,60212020,Amoxicillin 250mg/5ml oral suspension sugar free (Mylan),Amoxicillin trihydrate,50mg/1ml,Oral suspension,Oral
31661,62524020,Amoxicillin 250mg Capsule (Co-Pharma Ltd),Amoxicillin trihydrate,250mg,Capsule,Oral
31669,52818020,Pondocillin 120mg Sachets (LEO Pharma),Pivampicillin,120mg,Sachets,Oral
31801,66846020,Amoxicillin 500mg capsules (Sandoz Ltd),Amoxicillin trihydrate,500mg,Capsule,Oral
32148,52582020,Amfipen forte 250mg/5ml Oral solution (Yamanouchi Pharma Ltd),Ampicillin,50mg/1ml,Oral suspension,Oral
32347,52579020,Amfipen 125mg/5ml Oral solution (Yamanouchi Pharma Ltd),Ampicillin,25mg/1ml,Oral suspension,Oral
32622,60196020,Amoxicillin 125mg/5ml oral suspension (Mylan),Amoxicillin trihydrate,25mg/1ml,Oral suspension,Oral
32640,48673020,Amoxicillin 250mg/5ml oral suspension (IVAX Pharmaceuticals UK Ltd),Amoxicillin trihydrate,50mg/1ml,Oral suspension,Oral
32760,85595020,Ampitrin 125mg/5ml Liquid (OPD Pharm),Ampicillin,25mg/1ml,Oral suspension,Oral
32872,48628020,Amoxicillin 250mg Capsule (Mepra-Pharm),Amoxicillin trihydrate,250mg,Capsule,Oral
32910,67412020,Co-amoxiclav 500mg/125mg tablets (Sandoz Ltd),Amoxicillin trihydrate/Potassium clavulanate,500mg + 125mg,Tablet,Oral
33109,62825020,Amrit 125mg/5ml Liquid (BHR Pharmaceuticals Ltd),Amoxicillin trihydrate,25mg/1ml,Oral suspension,Oral
33110,62598020,Amrit 250mg/5ml Liquid (BHR Pharmaceuticals Ltd),Amoxicillin trihydrate,50mg/1ml,Oral suspension,Oral
33112,62824020,Amrit 500mg Capsule (BHR Pharmaceuticals Ltd),Amoxicillin trihydrate,500mg,Capsule,Oral
33165,48663020,Amoxicillin 250mg/5ml oral suspension (A A H Pharmaceuticals Ltd),Amoxicillin trihydrate,50mg/1ml,Oral suspension,Oral
33222,59321020,Amoxicillin 250mg Capsule (Lagap),Amoxicillin trihydrate,250mg,Capsule,Oral
33343,56816020,Amoxicillin 250mg capsules (Actavis UK Ltd),Amoxicillin trihydrate,250mg,Capsule,Oral
33383,56142020,Amoxicillin 3g oral powder sachets sugar free (A A H Pharmaceuticals Ltd),Amoxicillin trihydrate,3gram,Powder,Oral
33570,48655020,Amoxicillin 250mg/5ml Mixture (Crosspharma Ltd),Amoxicillin trihydrate,50mg/1ml,Oral suspension,Oral
33689,60210020,Amoxicillin 250mg/5ml oral suspension (Mylan),Amoxicillin trihydrate,50mg/1ml,Oral suspension,Oral
33690,48609020,Amoxicillin 125mg/5ml oral suspension (A A H Pharmaceuticals Ltd),Amoxicillin trihydrate,25mg/1ml,Oral suspension,Oral
33692,48608020,Amoxicillin 500mg capsules (A A H Pharmaceuticals Ltd),Amoxicillin trihydrate,500mg,Capsule,Oral
33693,63338020,Co-amoxiclav 250mg/125mg tablets (Kent Pharmaceuticals Ltd),Amoxicillin trihydrate/Potassium clavulanate,250mg + 125mg,Tablet,Oral
33696,48664020,Amoxicillin 125mg/5ml oral suspension sugar free (A A H Pharmaceuticals Ltd),Amoxicillin trihydrate,25mg/1ml,Oral suspension,Oral
33699,48682020,Amoxicillin 250mg/5ml oral suspension sugar free (IVAX Pharmaceuticals UK Ltd),Amoxicillin trihydrate,50mg/1ml,Oral suspension,Oral
33701,62493020,Co-amoxiclav 500mg/125mg tablets (A A H Pharmaceuticals Ltd),Amoxicillin trihydrate/Potassium clavulanate,500mg + 125mg,Tablet,Oral
33706,48613020,Amoxicillin 500mg capsules (Kent Pharmaceuticals Ltd),Amoxicillin trihydrate,500mg,Capsule,Oral
33840,59705020,Amoxicillin 500mg powder for solution for injection vials (Wockhardt UK Ltd),Amoxicillin sodium,500mg,Powder for solution for injection,Intramuscular/Intravenous
34001,54698020,Amoxicillin 500mg capsules (Teva UK Ltd),Amoxicillin trihydrate,500mg,Capsule,Oral
34042,48618020,Amoxicillin 250mg capsules (IVAX Pharmaceuticals UK Ltd),Amoxicillin trihydrate,250mg,Capsule,Oral
34228,48709020,Ampicillin 250mg capsules (A A H Pharmaceuticals Ltd),Ampicillin,250mg,Capsule,Oral
34232,48665020,Amoxicillin 250mg/5ml oral suspension sugar free (A A H Pharmaceuticals Ltd),Amoxicillin trihydrate,50mg/1ml,Oral suspension,Oral
34234,61891020,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Teva UK Ltd),Amoxicillin trihydrate/Potassium clavulanate,50mg/1ml + 12.5mg/1ml,Oral suspension,Oral
34238,48588020,Amoxicillin 1g powder for solution for injection vials (Wockhardt UK Ltd),Amoxicillin sodium,1gram,Powder for solution for injection,Intravenous/Intramuscular
34297,61479020,Co-amoxiclav 250mg/125mg tablets (Mylan),Amoxicillin trihydrate/Potassium clavulanate,250mg + 125mg,Tablet,Oral
34358,60349020,Co-fluampicil 250mg/250mg capsules (Mylan),Flucloxacillin sodium/Ampicillin trihydrate,250mg + 250mg,Capsule,Oral
34384,48669020,Amoxicillin 125mg/5ml oral suspension sugar free (Kent Pharmaceuticals Ltd),Amoxicillin trihydrate,25mg/1ml,Oral suspension,Oral
34435,59692020,Amoxicillin 250mg Capsule (DDSA Pharmaceuticals Ltd),Amoxicillin trihydrate,250mg,Capsule,Oral
34493,59997020,Co-amoxiclav 500mg/125mg tablets (Ranbaxy (UK) Ltd),Amoxicillin trihydrate/Potassium clavulanate,500mg + 125mg,Tablet,Oral
34638,54699020,Amoxicillin 125mg/5ml oral suspension sugar free (Teva UK Ltd),Amoxicillin trihydrate,25mg/1ml,Oral suspension,Oral
34679,56818020,Amoxicillin 125mg/5ml oral suspension sugar free (Actavis UK Ltd),Amoxicillin trihydrate,25mg/1ml,Oral suspension,Oral
34680,59998020,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (Ranbaxy (UK) Ltd),Amoxicillin trihydrate/Potassium clavulanate,25mg/1ml + 6.25mg/1ml,Oral suspension,Oral
34714,62859020,Amoxicillin 250mg Capsule (Neo Laboratories Ltd),Amoxicillin trihydrate,250mg,Capsule,Oral
34734,61884020,Co-amoxiclav 250mg/125mg tablets (Teva UK Ltd),Amoxicillin trihydrate/Potassium clavulanate,250mg + 125mg,Tablet,Oral
34760,48594020,Amoxicillin 250mg/5ml oral suspension (Actavis UK Ltd),Amoxicillin trihydrate,50mg/1ml,Oral suspension,Oral
34775,54700020,Amoxicillin 250mg/5ml oral suspension sugar free (Teva UK Ltd),Amoxicillin trihydrate,50mg/1ml,Oral suspension,Oral
34852,48645020,Amoxicillin 500mg capsules (Ranbaxy (UK) Ltd),Amoxicillin trihydrate,500mg,Capsule,Oral
34855,48670020,Amoxicillin 250mg/5ml oral suspension sugar free (Kent Pharmaceuticals Ltd),Amoxicillin trihydrate,50mg/1ml,Oral suspension,Oral
34857,48593020,Amoxicillin 125mg/5ml oral suspension (Actavis UK Ltd),Amoxicillin trihydrate,25mg/1ml,Oral suspension,Oral
34885,59693020,Amoxicillin 500mg Capsule (DDSA Pharmaceuticals Ltd),Amoxicillin trihydrate,500mg,Capsule,Oral
34912,62860020,Amoxicillin 500mg Capsule (Neo Laboratories Ltd),Amoxicillin trihydrate,500mg,Capsule,Oral
34972,67527020,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (Sandoz Ltd),Amoxicillin trihydrate/Potassium clavulanate,25mg/1ml + 6.25mg/1ml,Oral suspension,Oral
35191,72673020,Co-amoxiclav 500mg/100mg powder for solution for injection vials (Teva UK Ltd),Amoxicillin sodium/Potassium clavulanate,500mg + 100mg,Powder for solution for injection,Intravenous
35570,48598020,Amoxicillin 500mg Capsule (Crosspharma Ltd),Amoxicillin trihydrate,500mg,Capsule,Oral
36054,72593020,Amoxicillin 125mg/5ml oral suspension sugar free (Almus Pharmaceuticals Ltd),Amoxicillin trihydrate,25mg/1ml,Oral suspension,Oral
37304,59861020,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (IVAX Pharmaceuticals UK Ltd),Amoxicillin trihydrate/Potassium clavulanate,50mg/1ml + 12.5mg/1ml,Oral suspension,Oral
37485,94075020,Penbritin 125mg/5ml syrup (Chemidex Pharma Ltd),Ampicillin,25mg/1ml,Oral suspension,Oral
37755,74517020,Amoxicillin 250mg/5ml Oral suspension (Sandoz Ltd),Amoxicillin trihydrate,50mg/1ml,Oral suspension,Oral
38091,94077020,Penbritin Forte 250mg/5ml syrup (Chemidex Pharma Ltd),Ampicillin,50mg/1ml,Oral suspension,Oral
38684,48583020,Amoxicillin 500mg Capsule (C P Pharmaceuticals Ltd),Amoxicillin trihydrate,500mg,Capsule,Oral
40148,65436020,Co-amoxiclav 500mg/125mg tablets (Kent Pharmaceuticals Ltd),Amoxicillin trihydrate/Potassium clavulanate,500mg + 125mg,Tablet,Oral
40168,63451020,Amoxicillin 3g oral powder sachets sugar free (Kent Pharmaceuticals Ltd),Amoxicillin trihydrate,3gram,Powder,Oral
40238,48678020,Amoxicillin 250mg/5ml Mixture (Mepra-Pharm),Amoxicillin trihydrate,50mg/1ml,Oral suspension,Oral
40243,56821020,Amoxicillin 250mg/5ml oral suspension sugar free (Actavis UK Ltd),Amoxicillin trihydrate,50mg/1ml,Oral suspension,Oral
40320,60003020,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Ranbaxy (UK) Ltd),Amoxicillin trihydrate/Potassium clavulanate,50mg/1ml + 12.5mg/1ml,Oral suspension,Oral
41090,70968020,Amoxicillin 250mg/5ml oral suspension (Almus Pharmaceuticals Ltd),Amoxicillin trihydrate,50mg/1ml,Oral suspension,Oral
41415,63359020,Co-fluampicil 250mg/250mg capsules (Kent Pharmaceuticals Ltd),Flucloxacillin sodium/Ampicillin trihydrate,250mg + 250mg,Capsule,Oral
41646,52895020,Ampicillin 250mg Capsule (Berk Pharmaceuticals Ltd),Ampicillin,250mg,Capsule,Oral
41647,56825020,Ampicillin 500mg capsules (Actavis UK Ltd),Ampicillin,500mg,Capsule,Oral
41734,56817020,Amoxicillin 3g Powder (Actavis UK Ltd),Amoxicillin trihydrate,3gram,Powder,Oral
41744,48711020,Ampicillin 125mg/5ml oral suspension (A A H Pharmaceuticals Ltd),Ampicillin,25mg/1ml,Oral suspension,Oral
41818,52892020,Amoxicillin 125mg/5ml Oral solution (Berk Pharmaceuticals Ltd),Amoxicillin trihydrate,25mg/1ml,Oral suspension,Oral
41835,48675020,Amoxicillin 125mg Powder (IVAX Pharmaceuticals UK Ltd),Amoxicillin Trihydrate,125mg,Powder,Oral
42100,61348020,Ciclacillin 250mg tablets,Ciclacillin,250mg,Tablets,Oral
42227,61077020,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (A A H Pharmaceuticals Ltd),Amoxicillin trihydrate/Potassium clavulanate,50mg/1ml + 12.5mg/1ml,Oral suspension,Oral
42240,62526020,Amoxicillin 125mg/5ml Oral solution (Co-Pharma Ltd),Amoxicillin trihydrate,25mg/1ml,Oral suspension,Oral
42485,90741020,Clavulanic acid 62mg with amoxicillin 250mg/5ml oral suspension,Amoxicillin Trihydrate/Potassium Clavulanate,62mg + 250mg/5ml,Oral Suspension,Oral
42545,70965020,Amoxicillin 125mg/5ml oral suspension (Almus Pharmaceuticals Ltd),Amoxicillin trihydrate,25mg/1ml,Oral suspension,Oral
42732,72596020,Amoxicillin 250mg/5ml oral suspension sugar free (Almus Pharmaceuticals Ltd),Amoxicillin trihydrate,50mg/1ml,Oral suspension,Oral
42809,48582020,Amoxicillin 250mg Capsule (C P Pharmaceuticals Ltd),Amoxicillin trihydrate,250mg,Capsule,Oral
42815,48660020,Amoxicillin 250mg/5ml Mixture (Celltech Pharma Europe Ltd),Amoxicillin trihydrate,50mg/1ml,Oral suspension,Oral
42822,48604020,Amoxicillin 125mg/5ml Mixture (Celltech Pharma Europe Ltd),Amoxicillin trihydrate,25mg/1ml,Oral suspension,Oral
43229,74514020,Amoxicillin 125mg/5ml Oral suspension (Sandoz Ltd),Amoxicillin trihydrate,25mg/1ml,Oral suspension,Oral
43548,61076020,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (A A H Pharmaceuticals Ltd),Amoxicillin trihydrate/Potassium clavulanate,25mg/1ml + 6.25mg/1ml,Oral suspension,Oral
44154,65553020,Co-amoxiclav 500mg/125mg tablets (Zentiva),Amoxicillin trihydrate/Potassium clavulanate,500mg + 125mg,Tablet,Oral
44854,48623020,Amoxicillin 500mg Capsule (Lagap),Amoxicillin trihydrate,500mg,Capsule,Oral
45267,48638020,Amoxicillin 250mg Capsule (Regent Laboratories Ltd),Amoxicillin trihydrate,250mg,Capsule,Oral
45317,62866020,Amoxicillin 250mg/5ml Oral solution (Neo Laboratories Ltd),Amoxicillin trihydrate,50mg/1ml,Oral suspension,Oral
46175,48717020,Ampicillin 125mg/5ml Oral suspension (Hillcross Pharmaceuticals Ltd),Ampicillin Trihydrate,125mg/5ml,Oral Suspension,Oral
46915,64494020,Co-amoxiclav 250mg/125mg tablets (Zentiva),Amoxicillin trihydrate/Potassium clavulanate,250mg + 125mg,Tablet,Oral
46918,67532020,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Sandoz Ltd),Amoxicillin trihydrate/Potassium clavulanate,50mg/1ml + 12.5mg/1ml,Oral suspension,Oral
47184,68611020,Co-amoxiclav 500mg/100mg powder for solution for injection vials (Wockhardt UK Ltd),Amoxicillin sodium/Potassium clavulanate,500mg + 100mg,Powder for solution for injection,Intravenous
47640,70957020,Amoxicillin 500mg capsules (Almus Pharmaceuticals Ltd),Amoxicillin trihydrate,500mg,Capsule,Oral
48006,66843020,Amoxicillin 250mg capsules (Sandoz Ltd),Amoxicillin trihydrate,250mg,Capsule,Oral
48038,48614020,Amoxicillin 125mg/5ml oral suspension (Kent Pharmaceuticals Ltd),Amoxicillin trihydrate,25mg/1ml,Oral suspension,Oral
48147,71105020,Co-amoxiclav 250mg/125mg tablets (Almus Pharmaceuticals Ltd),Amoxicillin trihydrate/Potassium clavulanate,250mg + 125mg,Tablet,Oral
48683,5615020,Augmentin 375mg tablets (Lexon (UK) Ltd),Amoxicillin trihydrate/Potassium clavulanate,250mg + 125mg,Tablet,Oral
49048,5612020,Augmentin 375mg tablets (Waymade Healthcare Plc),Amoxicillin trihydrate/Potassium clavulanate,250mg + 125mg,Tablet,Oral
49063,5616020,Augmentin 375mg tablets (DE Pharmaceuticals),Amoxicillin trihydrate/Potassium clavulanate,250mg + 125mg,Tablet,Oral
49065,5682020,Amoxicillin 250mg/5ml oral suspension sugar free (Bristol Laboratories Ltd),Amoxicillin trihydrate,50mg/1ml,Oral suspension,Oral
49321,5596020,Augmentin 625mg tablets (Sigma Pharmaceuticals Plc),Amoxicillin trihydrate/Potassium clavulanate,500mg + 125mg,Tablet,Oral
49374,5613020,Augmentin 375mg tablets (Mawdsley-Brooks & Company Ltd),Amoxicillin trihydrate/Potassium clavulanate,250mg + 125mg,Tablet,Oral
49590,5577020,Amoxil 500mg capsules (Lexon (UK) Ltd),Amoxicillin trihydrate,500mg,Capsule,Oral
49610,38548020,Co-amoxiclav 500mg/125mg tablets (Medreich Plc),Amoxicillin trihydrate/Potassium clavulanate,500mg + 125mg,Tablet,Oral
49656,5597020,Augmentin 625mg tablets (Lexon (UK) Ltd),Amoxicillin trihydrate/Potassium clavulanate,500mg + 125mg,Tablet,Oral
49683,5591020,Augmentin 625mg tablets (Waymade Healthcare Plc),Amoxicillin trihydrate/Potassium clavulanate,500mg + 125mg,Tablet,Oral
50002,5664020,Amoxicillin 125mg/5ml oral suspension (Bristol Laboratories Ltd),Amoxicillin trihydrate,25mg/1ml,Oral suspension,Oral
50279,5595020,Augmentin 625mg tablets (DE Pharmaceuticals),Amoxicillin trihydrate/Potassium clavulanate,500mg + 125mg,Tablet,Oral
50341,5590020,Co-amoxiclav 500mg/125mg tablets (Alliance Healthcare (Distribution) Ltd),Amoxicillin trihydrate/Potassium clavulanate,500mg + 125mg,Tablet,Oral
50446,5614020,Co-amoxiclav 250mg/125mg tablets (Phoenix Healthcare Distribution Ltd),Amoxicillin trihydrate/Potassium clavulanate,250mg + 125mg,Tablet,Oral
50595,5589020,Augmentin 125/31 SF oral suspension (Mawdsley-Brooks & Company Ltd),Amoxicillin trihydrate/Potassium clavulanate,25mg/1ml + 6.25mg/1ml,Oral suspension,Oral
50742,77728020,Co-amoxiclav 500mg/125mg tablets (Actavis UK Ltd),Amoxicillin trihydrate/Potassium clavulanate,500mg + 125mg,Tablet,Oral
51164,5588020,Augmentin 125/31 SF oral suspension (Waymade Healthcare Plc),Amoxicillin trihydrate/Potassium clavulanate,25mg/1ml + 6.25mg/1ml,Oral suspension,Oral
51194,5605020,Augmentin-Duo 400/57 oral suspension (Sigma Pharmaceuticals Plc),Amoxicillin trihydrate/Potassium clavulanate,80mg/1ml + 11.4mg/1ml,Oral suspension,Oral
51382,5671020,Amoxicillin 250mg/5ml oral suspension (Phoenix Healthcare Distribution Ltd),Amoxicillin trihydrate,50mg/1ml,Oral suspension,Oral
51436,5578020,Amoxil 500mg capsules (Mawdsley-Brooks & Company Ltd),Amoxicillin trihydrate,500mg,Capsule,Oral
51536,5563020,Amoxicillin 250mg capsules (Milpharm Ltd),Amoxicillin trihydrate,250mg,Capsule,Oral
51623,5609020,Co-amoxiclav 250mg/125mg tablets (Alliance Healthcare (Distribution) Ltd),Amoxicillin trihydrate/Potassium clavulanate,250mg + 125mg,Tablet,Oral
51637,5603020,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free (A A H Pharmaceuticals Ltd),Amoxicillin trihydrate/Potassium clavulanate,80mg/1ml + 11.4mg/1ml,Oral suspension,Oral
51678,71112020,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Almus Pharmaceuticals Ltd),Amoxicillin trihydrate/Potassium clavulanate,50mg/1ml + 12.5mg/1ml,Oral suspension,Oral
52058,38547020,Amoxicillin 500mg capsules (Medreich Plc),Amoxicillin trihydrate,500mg,Capsule,Oral
52122,5659020,Amoxicillin 125mg/5ml oral suspension sugar free (Bristol Laboratories Ltd),Amoxicillin trihydrate,25mg/1ml,Oral suspension,Oral
52207,5598020,Augmentin 625mg tablets (Mawdsley-Brooks & Company Ltd),Amoxicillin trihydrate/Potassium clavulanate,500mg + 125mg,Tablet,Oral
52666,5623020,Augmentin 250/62 SF oral suspension (Sigma Pharmaceuticals Plc),Amoxicillin trihydrate/Potassium clavulanate,50mg/1ml + 12.5mg/1ml,Oral suspension,Oral
52685,5665020,Amoxicillin 125mg/5ml oral suspension (Phoenix Healthcare Distribution Ltd),Amoxicillin trihydrate,25mg/1ml,Oral suspension,Oral
52771,5576020,Amoxicillin 500mg capsules (Bristol Laboratories Ltd),Amoxicillin trihydrate,500mg,Capsule,Oral
52820,5565020,Amoxicillin 500mg capsules (Alliance Healthcare (Distribution) Ltd),Amoxicillin trihydrate,500mg,Capsule,Oral
52857,5660020,Amoxicillin 125mg/5ml oral suspension sugar free (Phoenix Healthcare Distribution Ltd),Amoxicillin trihydrate,25mg/1ml,Oral suspension,Oral
53078,5656020,Amoxicillin 125mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd),Amoxicillin trihydrate,25mg/1ml,Oral suspension,Oral
53609,38978020,Co-amoxiclav 500mg/125mg tablets (APC Pharmaceuticals & Chemicals (Europe) Ltd),Amoxicillin trihydrate/Potassium clavulanate,500mg + 125mg,Tablet,Oral
53627,5582020,Amoxicillin 500mg capsules (Accord Healthcare Ltd),Amoxicillin trihydrate,500mg,Capsule,Oral
53924,5669020,Amoxicillin 250mg/5ml oral suspension (Sigma Pharmaceuticals Plc),Amoxicillin trihydrate,50mg/1ml,Oral suspension,Oral
53942,92438020,Amoxicillin 125mg / Clavulanic acid 62.5mg/5ml oral suspension,Amoxicillin Trihydrate/Potassium Clavulanate,,,
53996,5600020,Co-amoxiclav 500mg/125mg tablets (Aurobindo Pharma Ltd),Amoxicillin trihydrate/Potassium clavulanate,500mg + 125mg,Tablet,Oral
54052,17286020,Co-amoxiclav 125mg/31mg/5ml oral suspension (A A H Pharmaceuticals Ltd),Amoxicillin trihydrate/Potassium clavulanate,25mg/1ml + 6.25mg/1ml,Oral suspension,Oral
54185,76507020,Amoxicillin 250mg capsules (Wockhardt UK Ltd),Amoxicillin trihydrate,250mg,Capsule,Oral
54222,5679020,Amoxicillin 250mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd),Amoxicillin trihydrate,50mg/1ml,Oral suspension,Oral
54271,5560020,Amoxicillin 250mg capsules (Mawdsley-Brooks & Company Ltd),Amoxicillin trihydrate,250mg,Capsule,Oral
54324,76662020,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (Actavis UK Ltd),Amoxicillin trihydrate/Potassium clavulanate,25mg/1ml + 6.25mg/1ml,Oral suspension,Oral
54452,5585020,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd),Amoxicillin trihydrate/Potassium clavulanate,25mg/1ml + 6.25mg/1ml,Oral suspension,Oral
54471,61851020,Ampicillin 250mg capsules (Kent Pharmaceuticals Ltd),Ampicillin,250mg,Capsule,Oral
54491,5561020,Amoxicillin 250mg capsules (Bristol Laboratories Ltd),Amoxicillin trihydrate,250mg,Capsule,Oral
54591,5599020,Co-amoxiclav 500mg/125mg tablets (Phoenix Healthcare Distribution Ltd),Amoxicillin trihydrate/Potassium clavulanate,500mg + 125mg,Tablet,Oral
54708,17287020,Co-amoxiclav 250mg/62mg/5ml oral suspension (A A H Pharmaceuticals Ltd),Amoxicillin trihydrate/Potassium clavulanate,50mg/1ml + 12.5mg/1ml,Oral suspension,Oral
54725,5583020,Amoxicillin 500mg capsules (Milpharm Ltd),Amoxicillin trihydrate,500mg,Capsule,Oral
54732,66522020,Co-amoxiclav 125mg/31mg/5ml oral suspension (Mylan),Amoxicillin trihydrate/Potassium clavulanate,25mg/1ml + 6.25mg/1ml,Oral suspension,Oral
54780,66526020,Co-amoxiclav 250mg/62mg/5ml oral suspension (Mylan),Amoxicillin trihydrate/Potassium clavulanate,50mg/1ml + 12.5mg/1ml,Oral suspension,Oral
54796,5558020,Amoxicillin 250mg capsules (Boston Healthcare Ltd),Amoxicillin trihydrate,250mg,Capsule,Oral
54808,71108020,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (Almus Pharmaceuticals Ltd),Amoxicillin trihydrate/Potassium clavulanate,25mg/1ml + 6.25mg/1ml,Oral suspension,Oral
55018,5670020,Amoxicillin 250mg/5ml oral suspension (Bristol Laboratories Ltd),Amoxicillin trihydrate,50mg/1ml,Oral suspension,Oral
55047,48624020,Amoxicillin 125mg/5ml oral suspension (Sandoz Ltd),Amoxicillin trihydrate,25mg/1ml,Oral suspension,Oral
55312,47412020,Co-amoxiclav 250mg/125mg tablets (Waymade Healthcare Plc),Amoxicillin trihydrate/Potassium clavulanate,250mg + 125mg,Tablet,Oral
55394,76509020,Amoxicillin 500mg capsules (Wockhardt UK Ltd),Amoxicillin trihydrate,500mg,Capsule,Oral
55499,60048020,Amoxicillin 250mg/5ml oral suspension (Ranbaxy (UK) Ltd),Amoxicillin trihydrate,50mg/1ml,Oral suspension,Oral
55527,5571020,Amoxicillin 500mg capsules (Boston Healthcare Ltd),Amoxicillin trihydrate,500mg,Capsule,Oral
55626,47416020,Amoxicillin 125mg/5ml oral suspension sugar free (Waymade Healthcare Plc),Amoxicillin trihydrate,25mg/1ml,Oral suspension,Oral
55846,48692020,Ampicillin 125mg/5ml Liquid (C P Pharmaceuticals Ltd),Ampicillin,25mg/1ml,Oral suspension,Oral
