prodcode,gemscriptcode,productname,drugsubstance,strength,formulation,route,bnfcode,bnfchapter
56493,10722020,Qvar 50micrograms/dose Easi-Breathe inhaler (Sigma Pharmaceuticals Plc),Beclometasone dipropionate,50microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
57589,2831020,Becloforte 250micrograms/dose inhaler (Dowelhurst Ltd),Beclometasone dipropionate,250microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
61664,26859021,Clenil Modulite 250micrograms/dose inhaler (Waymade Healthcare Plc),Beclometasone dipropionate,250microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
62341,2839020,Becotide 50 inhaler (Dowelhurst Ltd),Beclometasone dipropionate,50microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
62518,27040021,Beclometasone 100micrograms/dose inhaler CFC free (Ennogen Healthcare Ltd),Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
63585,75217020,Beclometasone 50micrograms/dose inhaler (Almus Pharmaceuticals Ltd),Beclometasone dipropionate,50microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
67234,2845020,Becotide 100 inhaler (Waymade Healthcare Plc),Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
67265,2826020,Becodisks 200microgram (Lexon (UK) Ltd),Beclometasone dipropionate,200microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
67735,99657020,Beclazone easi-breathe (roi) 250microgram/actuation Pressurised inhalation (Ivax Pharmaceuticals Ireland),Beclometasone Dipropionate,250microgram/actuation,Pressurised Inhalation,,3020000,Corticosteroids (for Respiratory Conditions)
70015,75209020,Beclometasone 100micrograms/dose inhaler (Almus Pharmaceuticals Ltd),Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
71337,10728020,Qvar 100 inhaler (Mawdsley-Brooks & Company Ltd),Beclometasone dipropionate,100microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
71356,38763020,Clenil Modulite 250micrograms/dose inhaler (Mawdsley-Brooks & Company Ltd),Beclometasone dipropionate,250microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
71467,60958021,Beclometasone 50micrograms/dose inhaler CFC free (J M McGill Ltd),Beclometasone dipropionate,50microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
74402,63913020,Beclometasone 100 Cyclocaps (Teva UK Ltd),Beclometasone dipropionate,100microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (For Respiratory Conditions)
37432,94307020,Fostair 100micrograms/dose / 6micrograms/dose inhaler (Chiesi Ltd),Beclometasone dipropionate/Formoterol fumarate dihydrate,100microgram/1dose + 6microgram/1dose,Pressurised inhalation,Inhalation,03010101/03020000,Selective Beta 2 Agonists/Corticosteroids (for Respiratory Conditions)
37470,94305020,Beclometasone 100micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free,Beclometasone dipropionate/Formoterol fumarate dihydrate,100microgram/1dose + 6microgram/1dose,Pressurised inhalation,Inhalation,03010101/03020000,Selective Beta 2 Agonists/Corticosteroids (for Respiratory Conditions)
61644,29630021,Fostair NEXThaler 100micrograms/dose / 6micrograms/dose dry powder inhaler (Chiesi Ltd),Beclometasone dipropionate/Formoterol fumarate dihydrate,100microgram/1dose + 6microgram/1dose,Inhalation powder,Inhalation,03010101/03020000,Selective Beta 2 Agonists/Corticosteroids (for Respiratory Conditions)
62030,29629021,Beclometasone 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler,Beclometasone dipropionate/Formoterol fumarate dihydrate,100microgram/1dose + 6microgram/1dose,Inhalation powder,Inhalation,03010101/03020000,Selective Beta 2 Agonists/Corticosteroids (for Respiratory Conditions)
65658,60896021,Fostair NEXThaler 200micrograms/dose / 6micrograms/dose dry powder inhaler (Chiesi Ltd),Beclometasone dipropionate/Formoterol fumarate dihydrate,200microgram/1dose + 6microgram/1dose,Inhalation powder,Inhalation,03010101/03020000,Selective Beta 2 Agonists/Corticosteroids (for Respiratory Conditions)
65894,60895021,Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler,Beclometasone dipropionate/Formoterol fumarate dihydrate,200microgram/1dose + 6microgram/1dose,Inhalation powder,Inhalation,03010101/03020000,Selective Beta 2 Agonists/Corticosteroids (for Respiratory Conditions)
3556,64090020,Beclometasone 50micrograms with salbutamol 100micrograms/inhalation inhaler,Beclometasone Dipropionate/Salbutamol,50micrograms + 100micrograms/inhalation,Aerosol Inhaler,Inhalation,03010101/03020000,Selective Beta 2 Agonists/Corticosteroids (for Respiratory Conditions)
19121,64092020,Beclometasone 100micrograms with Salbutamol 200micrograms inhalation capsules,Beclometasone Dipropionate/Salbutamol,100micrograms + 200micrograms,Capsules (for Inhalation),Inhalation,03010101/03020000,Selective Beta 2 Agonists/Corticosteroids (for Respiratory Conditions)
19376,64091020,Beclometasone 200micrograms with Salbutamol 400micrograms inhalation capsules,Beclometasone Dipropionate/Salbutamol,200micrograms + 400micrograms,Capsules (for Inhalation),Inhalation,03010101/03020000,Selective Beta 2 Agonists/Corticosteroids (for Respiratory Conditions)
14561,67875020,Salbutamol 400microgram / Beclometasone 200microgram inhalation powder capsules,Beclometasone dipropionate/Salbutamol sulfate,200microgram + 400microgram,Inhalation powder,Inhalation,0,Unknown
16625,68202020,Ventide Rotacaps (GlaxoSmithKline UK Ltd),Beclometasone dipropionate/Salbutamol sulfate,200microgram + 400microgram,Inhalation powder,Inhalation,0,Unknown
18456,67876020,Salbutamol 200microgram / Beclometasone 100microgram inhalation powder capsules,Beclometasone dipropionate/Salbutamol sulfate,100microgram + 200microgram,Inhalation powder,Inhalation,0,Unknown
18484,68203020,Ventide Paediatric Rotacaps (GlaxoSmithKline UK Ltd),Beclometasone dipropionate/Salbutamol sulfate,100microgram + 200microgram,Inhalation powder,Inhalation,0,Unknown
3065,48413020,Bextasol Inhalation powder (Allen & Hanburys Ltd),Betamethasone Valerate,,Inhalation Powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
7724,64163020,Betamethasone valerate 100micrograms/actuation inhaler,Betamethasone Valerate,100micrograms/actuation,Aerosol Inhaler,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
454,53685020,Pulmicort 200microgram Inhaler (AstraZeneca UK Ltd),Budesonide,200microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
908,73579020,Pulmicort 400 Turbohaler (AstraZeneca UK Ltd),Budesonide,400microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
947,73585020,Budesonide 50micrograms/actuation refill canister,Budesonide,50micrograms/actuation,Refill Canister,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
956,73578020,Pulmicort 200 Turbohaler (AstraZeneca UK Ltd),Budesonide,200microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
960,73580020,Pulmicort 100 Turbohaler (AstraZeneca UK Ltd),Budesonide,100microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
1642,52570020,Budesonide 400micrograms/dose dry powder inhaler,Budesonide,400microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
1680,53690020,Pulmicort LS 50micrograms/dose inhaler (AstraZeneca UK Ltd),Budesonide,50microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
1956,65885020,Pulmicort 1mg Respules (AstraZeneca UK Ltd),Budesonide,500microgram/1ml,Nebuliser liquid,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
1959,65884020,Pulmicort 0.5mg Respules (AstraZeneca UK Ltd),Budesonide,250microgram/1ml,Nebuliser liquid,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
2092,52569020,Budesonide 200micrograms/dose dry powder inhaler,Budesonide,200microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
2125,53686020,Pulmicort 200microgram Refill canister (AstraZeneca UK Ltd),Budesonide,200microgram,Refill Canister,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
3570,73584020,Budesonide 200micrograms/actuation refill canister,Budesonide,200micrograms/actuation,Refill Canister,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
4545,53691020,Pulmicort LS 50microgram Refill canister (AstraZeneca UK Ltd),Budesonide,50microgram,Refill Canister,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
4801,65880020,Budesonide 500micrograms/2ml nebuliser liquid unit dose vials,Budesonide,250microgram/1ml,Nebuliser liquid,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
4942,65881020,Budesonide 1mg/2ml nebuliser liquid unit dose vials,Budesonide,500microgram/1ml,Nebuliser liquid,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
7788,52571020,Budesonide 100micrograms/dose dry powder inhaler,Budesonide,100microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
8433,64258020,Budesonide 100micrograms/actuation inhaler,Budesonide,100micrograms/actuation,Aerosol Inhaler,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
14700,73583020,Budesonide 400micrograms/actuation inhaler,Budesonide,400micrograms/actuation,Aerosol Inhaler,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
16054,87972020,Budesonide 200micrograms/actuation breath actuated powder inhaler,Budesonide,200micrograms/actuation,Breath Actuated Dry Powder Inhaler,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
17670,90421020,Easyhaler Budesonide 100micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd),Budesonide,100microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
23741,87974020,Novolizer budesonide 200microgram/actuation Pressurised inhalation (Meda Pharmaceuticals Ltd),Budesonide,200microgram/actuation,Pressurised Inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
27188,90423020,Easyhaler Budesonide 200micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd),Budesonide,200microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
30649,90425020,Easyhaler Budesonide 400micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd),Budesonide,400microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
35510,92711020,Budesonide 200micrograms/dose dry powder inhalation cartridge with device,Budesonide,200microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
35602,92719020,Budesonide 200micrograms/dose dry powder inhalation cartridge,Budesonide,200microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
35631,92727020,Budelin Novolizer 200micrograms/dose inhalation powder (Meda Pharmaceuticals Ltd),Budesonide,200microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
35724,92729020,Budelin Novolizer 200micrograms/dose inhalation powder refill (Meda Pharmaceuticals Ltd),Budesonide,200microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
40057,96233020,Pulmicort 200micrograms/dose inhaler CFC free (AstraZeneca UK Ltd),Budesonide,200microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
49711,2876020,Pulmicort 200micrograms/dose inhaler (AstraZeneca UK Ltd),Budesonide,200microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
50037,13400020,Pulmicort 0.5mg Respules (Waymade Healthcare Plc),Budesonide,250microgram/1ml,Nebuliser liquid,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
52732,13412020,Pulmicort 0.5mg Respules (Necessity Supplies Ltd),Budesonide,250microgram/1ml,Nebuliser liquid,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
56498,2858020,Pulmicort 200 Turbohaler (Waymade Healthcare Plc),Budesonide,200microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
60937,2859020,Pulmicort 200 Turbohaler (Dowelhurst Ltd),Budesonide,200microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
61975,13413020,Budesonide 500micrograms/2ml nebuliser liquid unit dose vials (Almus Pharmaceuticals Ltd),Budesonide,250microgram/1ml,Nebuliser liquid,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
65448,72752020,Budesonide 1mg/2ml nebuliser liquid unit dose vials (A A H Pharmaceuticals Ltd),Budesonide,500microgram/1ml,Nebuliser liquid,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
67239,2867020,Pulmicort 400 Turbohaler (Waymade Healthcare Plc),Budesonide,400microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
67261,13422020,Pulmicort 1mg Respules (Sigma Pharmaceuticals Plc),Budesonide,500microgram/1ml,Nebuliser liquid,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
67315,2866020,Budesonide 400micrograms/dose Turbohaler (Waymade Healthcare Plc),Budesonide,400microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
67322,2850020,Pulmicort 100 Turbohaler (Waymade Healthcare Plc),Budesonide,100microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
70749,2869020,Budesonide 400micrograms/dose Turbohaler (Dowelhurst Ltd),Budesonide,400microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
71338,2861020,Pulmicort 200 Turbohaler (DE Pharmaceuticals),Budesonide,200microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
71345,2860020,Budesonide 200micrograms/dose Turbohaler (Dowelhurst Ltd),Budesonide,200microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
71347,2871020,Pulmicort 400 Turbohaler (Sigma Pharmaceuticals Plc),Budesonide,400microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
71368,2863020,Pulmicort 200 Turbohaler (Lexon (UK) Ltd),Budesonide,200microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
71427,2852020,Budesonide 100micrograms/dose Turbohaler (Dowelhurst Ltd),Budesonide,100microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
73999,13407020,Pulmicort 0.5mg Respules (Sigma Pharmaceuticals Plc),Budesonide,250microgram/1ml,Nebuliser liquid,Inhalation,3020000,Corticosteroids (For Respiratory Conditions)
74041,2870020,Pulmicort 400 Turbohaler (DE Pharmaceuticals),Budesonide,400microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (For Respiratory Conditions)
74045,2856020,Pulmicort 100 Turbohaler (Mawdsley-Brooks & Company Ltd),Budesonide,100microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (For Respiratory Conditions)
74083,2854020,Pulmicort 100 Turbohaler (Sigma Pharmaceuticals Plc),Budesonide,100microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (For Respiratory Conditions)
74091,2855020,Pulmicort 100 Turbohaler (Lexon (UK) Ltd),Budesonide,100microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (For Respiratory Conditions)
909,64256020,Budesonide 200micrograms/dose inhaler,Budesonide,200microgram/1dose,Pressurised inhalation,Inhalation,0,Unknown
959,64257020,Budesonide 50micrograms/dose inhaler,Budesonide,50microgram/1dose,Pressurised inhalation,Inhalation,0,Unknown
10321,84348020,Budesonide 400microgram inhalation powder capsules,Budesonide,400microgram,Inhalation powder,Inhalation,0,Unknown
18537,86508020,Budesonide 200microgram inhalation powder capsules,Budesonide,200microgram,Inhalation powder,Inhalation,0,Unknown
39099,96231020,Pulmicort 100micrograms/dose inhaler CFC free (AstraZeneca UK Ltd),Budesonide,100microgram/1dose,Pressurised inhalation,Inhalation,0,Unknown
39102,96155020,Budesonide 100micrograms/dose inhaler CFC free,Budesonide,100microgram/1dose,Pressurised inhalation,Inhalation,0,Unknown
39879,96157020,Budesonide 200micrograms/dose inhaler CFC free,Budesonide,200microgram/1dose,Pressurised inhalation,Inhalation,0,Unknown
47225,804021,Budesonide 9mg gastro-resistant granules sachets,Budesonide,9mg,Gastro-resistant granules,Oral,0,Unknown
48088,806021,Budenofalk 9mg gastro-resistant granules sachets (Dr. Falk Pharma UK Ltd),Budesonide,9mg,Gastro-resistant granules,Oral,0,Unknown
6325,81548020,Symbicort 200/6 Turbohaler (AstraZeneca UK Ltd),Budesonide/Formoterol fumarate dihydrate,200microgram/1dose + 6microgram/1dose,Inhalation powder,Inhalation,03010101/03020000,Selective Beta 2 Agonists/Corticosteroids (for Respiratory Conditions)
6746,76616020,Budesonide 400micrograms/dose / Formoterol 12micrograms/dose dry powder inhaler,Budesonide/Formoterol fumarate dihydrate,400microgram/1dose + 12microgram/1dose,Inhalation powder,Inhalation,03010101/03020000,Selective Beta 2 Agonists/Corticosteroids (for Respiratory Conditions)
6780,79213020,Symbicort 400/12 Turbohaler (AstraZeneca UK Ltd),Budesonide/Formoterol fumarate dihydrate,400microgram/1dose + 12microgram/1dose,Inhalation powder,Inhalation,03010101/03020000,Selective Beta 2 Agonists/Corticosteroids (for Respiratory Conditions)
6796,86176020,Budesonide 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler,Budesonide/Formoterol fumarate dihydrate,200microgram/1dose + 6microgram/1dose,Inhalation powder,Inhalation,03010101/03020000,Selective Beta 2 Agonists/Corticosteroids (for Respiratory Conditions)
50739,14019020,Symbicort 400/12 Turbohaler (Mawdsley-Brooks & Company Ltd),Budesonide/Formoterol fumarate dihydrate,400microgram/1dose + 12microgram/1dose,Inhalation powder,Inhalation,03010101/03020000,Selective Beta 2 Agonists/Corticosteroids (for Respiratory Conditions)
51570,46020,Symbicort 200/6 Turbohaler (DE Pharmaceuticals),Budesonide/Formoterol fumarate dihydrate,200microgram/1dose + 6microgram/1dose,Inhalation powder,Inhalation,03010101/03020000,Selective Beta 2 Agonists/Corticosteroids (for Respiratory Conditions)
51759,48020,Symbicort 200/6 Turbohaler (Mawdsley-Brooks & Company Ltd),Budesonide/Formoterol fumarate dihydrate,200microgram/1dose + 6microgram/1dose,Inhalation powder,Inhalation,03010101/03020000,Selective Beta 2 Agonists/Corticosteroids (for Respiratory Conditions)
53237,14017020,Symbicort 400/12 Turbohaler (DE Pharmaceuticals),Budesonide/Formoterol fumarate dihydrate,400microgram/1dose + 12microgram/1dose,Inhalation powder,Inhalation,03010101/03020000,Selective Beta 2 Agonists/Corticosteroids (for Respiratory Conditions)
53491,47020,Symbicort 200/6 Turbohaler (Sigma Pharmaceuticals Plc),Budesonide/Formoterol fumarate dihydrate,200microgram/1dose + 6microgram/1dose,Inhalation powder,Inhalation,03010101/03020000,Selective Beta 2 Agonists/Corticosteroids (for Respiratory Conditions)
61666,27378021,DuoResp Spiromax 320micrograms/dose / 9micrograms/dose dry powder inhaler (Teva UK Ltd),Budesonide/Formoterol fumarate dihydrate,400microgram/1dose + 12microgram/1dose,Inhalation powder,Inhalation,03010101/03020000,Selective Beta 2 Agonists/Corticosteroids (for Respiratory Conditions)
61782,27233021,DuoResp Spiromax 160micrograms/dose / 4.5micrograms/dose dry powder inhaler (Teva UK Ltd),Budesonide/Formoterol fumarate dihydrate,200microgram/1dose + 6microgram/1dose,Inhalation powder,Inhalation,03010101/03020000,Selective Beta 2 Agonists/Corticosteroids (for Respiratory Conditions)
67677,69957021,Symbicort 200micrograms/dose / 6micrograms/dose pressurised inhaler (AstraZeneca UK Ltd),Budesonide/Formoterol fumarate dihydrate,200microgram/1dose + 6microgram/1dose,Pressurised inhalation,Inhalation,03010101/03020000,Selective Beta 2 Agonists/Corticosteroids (for Respiratory Conditions)
67958,69956021,Budesonide 200micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free,Budesonide/Formoterol fumarate dihydrate,200microgram/1dose + 6microgram/1dose,Pressurised inhalation,Inhalation,03010101/03020000,Selective Beta 2 Agonists/Corticosteroids (for Respiratory Conditions)
68034,49020,Symbicort 200/6 Turbohaler (Necessity Supplies Ltd),Budesonide/Formoterol fumarate dihydrate,200microgram/1dose + 6microgram/1dose,Inhalation powder,Inhalation,03010101/03020000,Selective Beta 2 Agonists/Corticosteroids (for Respiratory Conditions)
71284,78502021,Fobumix Easyhaler 320micrograms/dose / 9micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd),Budesonide/Formoterol fumarate dihydrate,400microgram/1dose + 12microgram/1dose,Inhalation powder,Inhalation,03010101/03020000,Selective Beta 2 Agonists/Corticosteroids (for Respiratory Conditions)
71354,14020020,Symbicort 400/12 Turbohaler (Necessity Supplies Ltd),Budesonide/Formoterol fumarate dihydrate,400microgram/1dose + 12microgram/1dose,Inhalation powder,Inhalation,03010101/03020000,Selective Beta 2 Agonists/Corticosteroids (for Respiratory Conditions)
71915,78958021,Fobumix Easyhaler 160micrograms/dose / 4.5micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd),Budesonide/Formoterol fumarate dihydrate,200microgram/1dose + 6microgram/1dose,Inhalation powder,Inhalation,03010101/03020000,Selective Beta 2 Agonists/Corticosteroids (for Respiratory Conditions)
6839,88722020,Alvesco 160 inhaler (AstraZeneca UK Ltd),Ciclesonide,160microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
7356,88708020,Ciclesonide 80micrograms/dose inhaler CFC free,Ciclesonide,80microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
10102,88716020,Ciclesonide 160micrograms/dose inhaler CFC free,Ciclesonide,160microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
21224,88720020,Alvesco 80 inhaler (AstraZeneca UK Ltd),Ciclesonide,80microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
911,79577020,Flixotide accuhaler 250 250microgram/inhalation Inhalation powder (Allen & Hanburys Ltd),Fluticasone propionate,250microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
1412,75190020,Flixotide 250microgram/actuation Inhalation powder (Allen & Hanburys Ltd),Fluticasone Propionate,250microgram/actuation,Inhalation Powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
1424,74455020,Flixotide 250microgram Disc (Allen & Hanburys Ltd),Fluticasone Propionate,250microgram,Disc,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
1426,75187020,Flixotide 500microgram Disc (Allen & Hanburys Ltd),Fluticasone Propionate,500microgram,Disc,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
1518,74986020,Flixotide 50microgram/actuation Inhalation powder (Allen & Hanburys Ltd),Fluticasone Propionate,50microgram/actuation,Inhalation Powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
1676,74987020,Flixotide 125microgram/actuation Inhalation powder (Allen & Hanburys Ltd),Fluticasone Propionate,125microgram/actuation,Inhalation Powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
2282,79605020,Fluticasone propionate 500micrograms/dose dry powder inhaler,Fluticasone propionate,500microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
2440,79578020,Flixotide accuhaler 500 500microgram/inhalation Inhalation powder (Allen & Hanburys Ltd),Fluticasone propionate,500microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
2723,74990020,Fluticasone 25micrograms/dose inhaler,Fluticasone propionate,25microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
2951,75179020,Fluticasone 250microgram/actuation Pressurised inhalation,Fluticasone Propionate,250microgram/actuation,Pressurised Inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
3289,74985020,Flixotide 25micrograms/dose inhaler (GlaxoSmithKline UK Ltd),Fluticasone propionate,25microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
3989,74454020,Flixotide 100microgram Disc (Allen & Hanburys Ltd),Fluticasone Propionate,100microgram,Disc,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
4131,74459020,Fluticasone 100microgram Disc,Fluticasone Propionate,100microgram,Disc,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
4132,74992020,Fluticasone 125microgram/actuation Pressurised inhalation,Fluticasone Propionate,125microgram/actuation,Pressurised Inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
4688,74991020,Fluticasone 50microgram/actuation Pressurised inhalation,Fluticasone Propionate,50microgram/actuation,Pressurised Inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
4926,75192020,Flixotide accuhaler 100 100microgram/inhalation Inhalation powder (Allen & Hanburys Ltd),Fluticasone propionate,100microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
5223,76452020,Fluticasone 50micrograms/dose inhaler CFC free,Fluticasone propionate,50microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
5309,78909020,Flixotide 50micrograms/dose Evohaler (GlaxoSmithKline UK Ltd),Fluticasone propionate,50microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
5551,57312020,Flixotide 0.5mg/2ml Nebules (GlaxoSmithKline UK Ltd),Fluticasone propionate,250microgram/1ml,Nebuliser liquid,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
5580,75191020,Flixotide accuhaler 50 50microgram/inhalation Inhalation powder (Allen & Hanburys Ltd),Fluticasone propionate,50microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
5683,78908020,Flixotide 250micrograms/dose Evohaler (GlaxoSmithKline UK Ltd),Fluticasone propionate,250microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
5718,78907020,Flixotide 125micrograms/dose Evohaler (GlaxoSmithKline UK Ltd),Fluticasone propionate,125microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
5822,76451020,Fluticasone 250micrograms/dose inhaler CFC free,Fluticasone propionate,250microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
5885,75181020,Fluticasone propionate 100micrograms/dose dry powder inhaler,Fluticasone propionate,100microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
5975,76450020,Fluticasone 125micrograms/dose inhaler CFC free,Fluticasone propionate,125microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
7602,74458020,Fluticasone 50microgram Disc,Fluticasone Propionate,50microgram,Disc,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
7638,74460020,Fluticasone 250microgram Disc,Fluticasone Propionate,250microgram,Disc,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
7891,75184020,Fluticasone 500microgram Disc,Fluticasone Propionate,500microgram,Disc,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
