drugcode,bnfcode1,bnfcode2,bnfcode3,genericname,formulation,Grade
90968979,13.04.00.00,13.04.00.00,13.05.02.00,Betamethasone dipropionate 0.05% / Salicylic acid 3% ointment,ointment,1
90969979,13.04.00.00,13.04.00.00,13.05.02.00,Betamethasone dipropionate 0.05% / Salicylic acid 3% ointment,ointment,1
90970979,13.04.00.00,13.04.00.00,13.05.02.00,Betamethasone dipropionate 0.05% / Salicylic acid 3% ointment,ointment,1
90971979,13.04.00.00,13.04.00.00,13.05.02.00,Betamethasone dipropionate 0.05% / Salicylic acid 3% ointment,ointment,1
90972979,13.04.00.00,13.04.00.00,13.05.02.00,Betamethasone dipropionate 0.05% / Salicylic acid 3% ointment,ointment,1
90973979,13.04.00.00,13.04.00.00,13.05.02.00,Betamethasone dipropionate 0.05% / Salicylic acid 3% ointment,ointment,1
92560998,13.04.00.00,00.00.00.00,00.00.00.00,Betamethasone dipropionate with fluocinonide, gentamicin with salicylic acid ointment,,1
92561998,13.04.00.00,00.00.00.00,00.00.00.00,Betamethasone dipropionate with fluocinonide, gentamicin with salicylic acid ointment,ointment,1
94106997,13.04.00.00,00.00.00.00,00.00.00.00,Betamethasone dipropionate 0.05% / Salicylic acid 2% scalp application,scalp application,1
94106998,13.04.00.00,13.05.02.00,13.04.00.00,Betamethasone dipropionate 0.05% / Salicylic acid 3% ointment,ointment,1
96588992,13.04.00.00,00.00.00.00,00.00.00.00,Betnovate / weak tar paste pas,,1
