DrugCode,Chapter,Description
98334988,05.01.01.03,Amoxicillin 250mg/5ml oral suspension sugar free
98334989,05.01.01.03,Amoxicillin 125mg/5ml oral suspension sugar free
98334990,05.01.01.03,Amoxicillin 500mg capsules
98353996,05.01.01.03,Amoxicillin 1g powder for solution for injection vials
98353997,05.01.01.03,Amoxicillin 500mg powder for solution for injection vials
98353998,05.01.01.03,Amoxicillin 250mg powder for solution for injection vials
98354998,05.01.01.03,Amoxicillin 125mg/1.25ml oral suspension paediatric
98355998,05.01.01.03,Talampicillin hydrochloride 125mg/5ml syrup
98356997,05.01.01.03,Ampicillin 500mg powder for solution for injection vials
98356998,05.01.01.03,Ampicillin 250mg injection (powder for reconstitution)
98357998,05.01.01.03,Ampicillin 125mg/1.25ml paediatric suspension
98673998,05.01.01.03,Amoxicillin 3g oral powder sachets sugar free
98802990,05.01.01.03,Ampicillin 250mg capsules
98803988,05.01.01.03,Amoxicillin 125mg/5ml oral suspension
98803990,05.01.01.03,Amoxicillin 250mg capsules
98820998,05.01.01.03,Pivampicillin 175mg/sachet granules
98883997,05.01.01.03,Ampicillin 500mg powder for solution for injection vials
98884998,05.01.01.03,Ampicillin 250mg/5ml oral suspension
98885998,05.01.01.03,Ampicillin 125mg/5ml oral suspension
98967998,05.01.01.03,Ampicillin 250mg/5ml oral suspension
98968996,05.01.01.03,Ampicillin 125mg/5ml oral suspension
98968997,05.01.01.03,Ampicillin 500mg capsules
98968998,05.01.01.03,Ampicillin 250mg capsules
99075998,05.01.01.03,Talampicillin hydrochloride 250mg tablets
99236998,05.01.01.03,Pivampicillin 500mg tablets
99274998,05.01.01.03,Ampicillin 250mg/5ml oral suspension
99275996,05.01.01.03,Ampicillin 125mg/5ml oral suspension
99275997,05.01.01.03,Ampicillin 500mg capsules
99275998,05.01.01.03,Ampicillin 250mg capsules
99743992,05.01.01.03,Amoxycillin 500 mg tab
99789992,05.01.01.03,Ampimed 250 mg cap
99821989,05.01.01.03,Ampicillin 125mg/5ml sugar free suspension
99822988,05.01.01.03,Ampicillin 125mg/5ml oral suspension
99822989,05.01.01.03,Ampicillin 500mg capsules
99822990,05.01.01.03,Ampicillin 250mg capsules
99824990,05.01.01.03,Ampicillin 250mg capsules
99826988,05.01.01.03,Ampicillin 125mg/5ml oral suspension
99826989,05.01.01.03,Ampicillin 500mg capsules
99828990,05.01.01.03,Amoxicillin 250mg/5ml oral suspension sugar free
99829990,05.01.01.03,Amoxicillin 250mg/5ml oral suspension sugar free
99830988,05.01.01.03,Amoxicillin 125mg sugar free powder
99830989,05.01.01.03,Amoxicillin 3g oral powder sachets sugar free
99830990,05.01.01.03,Amoxicillin 250mg/5ml oral suspension sugar free
99831988,05.01.01.03,Amoxicillin 250mg/5ml oral suspension sugar free
99831989,05.01.01.03,Amoxicillin 125mg/5ml oral suspension sugar free
99831990,05.01.01.03,Amoxicillin 250mg/5ml oral suspension sugar free
99832988,05.01.01.03,Amoxicillin 250mg/5ml oral suspension sugar free
99832989,05.01.01.03,Amoxicillin 125mg/5ml oral suspension sugar free
99832990,05.01.01.03,Amoxicillin 250mg/5ml oral suspension sugar free
99834990,05.01.01.03,Amoxicillin 250mg/5ml oral suspension sugar free
99836988,05.01.01.03,Amoxicillin 125mg/5ml oral suspension
99836989,05.01.01.03,Amoxicillin 500mg capsules
99836990,05.01.01.03,Amoxicillin 250mg capsules
99837988,05.01.01.03,Amoxicillin 125mg/5ml oral suspension
99837990,05.01.01.03,Amoxicillin 250mg capsules
99838988,05.01.01.03,Amoxicillin 125mg/5ml oral suspension
99838989,05.01.01.03,Amoxicillin 500mg capsules
99838990,05.01.01.03,Amoxicillin 250mg capsules
99839988,05.01.01.03,Amoxicillin 125mg/5ml oral suspension
99839990,05.01.01.03,Amoxicillin 250mg capsules
99840988,05.01.01.03,Amoxicillin 250mg/5ml oral suspension sugar free
99840989,05.01.01.03,Amoxicillin 125mg/5ml oral suspension
99840990,05.01.01.03,Amoxicillin 500mg capsules
99841988,05.01.01.03,Amoxicillin 125mg/5ml oral suspension
99841989,05.01.01.03,Amoxicillin 500mg capsules
99841990,05.01.01.03,Amoxicillin 250mg capsules
99842988,05.01.01.03,Amoxicillin 125mg/5ml oral suspension
99842989,05.01.01.03,Amoxicillin 500mg capsules
99842990,05.01.01.03,Amoxicillin 250mg capsules
99843988,05.01.01.03,Amoxicillin 125mg/5ml oral suspension
99843989,05.01.01.03,Amoxicillin 500mg capsules
99843990,05.01.01.03,Amoxicillin 250mg capsules
99844988,05.01.01.03,Amoxicillin 125mg/5ml oral suspension
99845988,05.01.01.03,Amoxicillin 125mg/5ml oral suspension sugar free
99845989,05.01.01.03,Amoxicillin 500mg capsules
99845990,05.01.01.03,Amoxicillin 250mg capsules
99846988,05.01.01.03,Amoxicillin 250mg/5ml oral suspension sugar free
99846989,05.01.01.03,Amoxicillin 125mg/5ml oral suspension
99846990,05.01.01.03,Amoxicillin 500mg capsules
99847989,05.01.01.03,Amoxicillin 1g powder for solution for injection vials
99848989,05.01.01.03,Amoxicillin 500mg capsules
99848990,05.01.01.03,Amoxicillin 250mg capsules
99849988,05.01.01.03,Amoxicillin 250mg capsules
99849989,05.01.01.03,Amoxicillin 250mg/5ml oral suspension sugar free
99849990,05.01.01.03,Amoxicillin 125mg/5ml oral suspension
99861997,05.01.01.03,Ciclacillin 500mg tablets
99861998,05.01.01.03,Ciclacillin 250mg tablets
99869997,05.01.01.03,Pheneticillin 125mg/5ml syrup
99869998,05.01.01.03,Pheneticillin 250mg capsules
99962996,05.01.01.03,Amoxicillin 500mg sugar free dispersible tablets
99962997,05.01.01.03,Amoxicillin 500mg capsules
99962998,05.01.01.03,Amoxicillin 250mg capsules
99964997,05.01.01.03,Ampicillin 500mg capsules
99964998,05.01.01.03,Ampicillin 250mg capsules
93213998,05.01.01.03,Co-fluampicil 500mg with 500mg injection
93214997,05.01.01.03,Co-fluampicil 125mg/125mg/5ml oral suspension
93214998,05.01.01.03,Co-fluampicil 250mg/250mg capsules
94356979,05.01.01.03,Co-fluampicil 125mg/125mg/5ml oral suspension
94936996,05.01.01.03,Ampicillin & cloxacillin 125mg+125mg/5ml syrup
94936997,05.01.01.03,Ampicillin & cloxacillin 250mg+250mg capsules
95030998,05.01.01.03,Ampicillin 500mg / flucloxacillin 500mg injection
95031997,05.01.01.03,Co-fluampicil 125mg/125mg/5ml oral suspension
95031998,05.01.01.03,Co-fluampicil 250mg/250mg capsules
96183990,05.01.01.03,Co-fluampicil 250mg/250mg capsules
96531997,05.01.01.03,Co-fluampicil 125mg/125mg/5ml oral suspension
96531998,05.01.01.03,Co-fluampicil 250mg/250mg capsules
96896990,05.01.01.03,Co-fluampicil 250mg/250mg capsules
96908990,05.01.01.03,Co-fluampicil 250mg/250mg capsules
97167990,05.01.01.03,Co-fluampicil 250mg/250mg capsules
97770990,05.01.01.03,Co-fluampicil 250mg/250mg capsules
97975990,05.01.01.03,Co-fluampicil 250mg/250mg capsules
98218998,05.01.01.03,Ampicillin & cloxacillin 50mg+25mg injection (powder for reconstitution)
98362997,05.01.01.03,Co-fluampicil 500mg+500mg injection (powder for reconstitution)
99171996,05.01.01.03,Ampicillin 250mg / cloxacillin 250mg/vial injection
99171997,05.01.01.03,Ampicillin with cloxacillin 250mg/5ml oral solution
99792992,05.01.01.03,Ampicillin & cloxacillin 125mg+125mg/5ml syrup
99793992,05.01.01.03,Ampicillin & cloxacillin 250mg+250mg injection (powder for reconstitution)
86036998,05.01.01.03,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free
86037998,05.01.01.03,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free
86056998,05.01.01.03,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free
88536998,05.01.01.03,Co-amoxiclav 250mg/125mg tablets
92340996,05.01.01.03,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free
93214996,05.01.01.03,Co-fluampicil 250mg/250mg powder for solution for injection vials
93224998,05.01.01.03,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free
93225996,05.01.01.03,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free
93225998,05.01.01.03,Co-amoxiclav 250mg/125mg tablets
94027990,05.01.01.03,Co-amoxiclav 250mg/125mg tablets
94376979,05.01.01.03,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free
94379979,05.01.01.03,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free
94383979,05.01.01.03,Co-amoxiclav 250mg/125mg tablets
94384979,05.01.01.03,Co-amoxiclav 250mg/125mg tablets
94385979,05.01.01.03,Co-amoxiclav 250mg/125mg tablets
94386979,05.01.01.03,Co-amoxiclav 250mg/125mg tablets
94387979,05.01.01.03,Co-amoxiclav 250mg/125mg tablets
94389979,05.01.01.03,Co-amoxiclav 250mg/125mg tablets
94410979,05.01.01.03,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free
94411979,05.01.01.03,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free
94872998,05.01.01.03,Pivampicillin & pivmecillinam 250mg+200mg tablets
95028998,05.01.01.03,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free
95029998,05.01.01.03,Co-amoxiclav 250mg/125mg tablets
95031996,05.01.01.03,Co-fluampicil 250mg/250mg powder for solution for injection vials
95032997,05.01.01.03,Ampicillin 50mg / cloxacillin 25mg/vial injection
95032998,05.01.01.03,Ampiciilin 60mg / cloxacillin 30mg/0.6ml sugar free oral suspension
95039990,05.01.01.03,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free
95314990,05.01.01.03,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free
95494997,05.01.01.03,Pivampicillin 250mg with pivmecillinam 200mg tablet
95872990,05.01.01.03,Co-amoxiclav 250mg/125mg tablets
96137990,05.01.01.03,Co-amoxiclav 250mg/125mg tablets
96189990,05.01.01.03,Co-amoxiclav 250mg/125mg tablets
96343990,05.01.01.03,Co-amoxiclav 250mg/125mg tablets
96531996,05.01.01.03,Co-fluampicil 250mg/250mg powder for solution for injection vials
96538990,05.01.01.03,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free
96539990,05.01.01.03,Co-amoxiclav 250mg/125mg tablets
96637990,05.01.01.03,Co-amoxiclav 250mg/125mg tablets
96660998,05.01.01.03,Co-amoxiclav 250mg/125mg tablets
96731988,05.01.01.03,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free
96731989,05.01.01.03,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free
96731990,05.01.01.03,Co-amoxiclav 250mg/125mg tablets
96974990,05.01.01.03,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free
96975990,05.01.01.03,Co-amoxiclav 250mg/125mg tablets
97009990,05.01.01.03,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free
97010990,05.01.01.03,Co-amoxiclav 250mg/125mg tablets
97133998,05.01.01.03,Co-fluampicil 250mg+250mg capsules
97254998,05.01.01.03,Co-fluampicil 125mg/125mg/5ml oral suspension
97708998,05.01.01.03,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free
98362998,05.01.01.03,Co-fluampicil 250mg/250mg powder for solution for injection vials
98363998,05.01.01.03,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free
98364998,05.01.01.03,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free
99171998,05.01.01.03,Ampicillin / cloxacillin 500mg capsules
99452998,05.01.01.03,Co-fluampicil 250mg/250mg capsules
99927997,05.01.01.03,Co-amoxiclav 125mg+250mg sugar free dispersible tablets
99927998,05.01.01.03,Co-amoxiclav 250mg/125mg tablets
99960998,05.01.01.03,Ampicillin & cloxacillin 60mg+30mg/0.6ml sugar free suspension
95491998,05.01.01.03,Pivampicillin & pivmecillinam 250mg+200mg tablets
95494998,05.01.01.03,Pivampicillin 125mg with pivmecillinam100mg tablet
98450998,05.01.01.03,Pivmecillinam 46.2mg with pivampicillin 62.5mg/5ml oral solution
98451998,05.01.01.03,Pivampicillin & pivmecillinam 125mg+100mg tablets
52243979,05.01.01.03,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free
52588979,05.01.01.03,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free
59159978,05.01.01.03,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free
86034998,05.01.01.03,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free
86035998,05.01.01.03,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free
86055998,05.01.01.03,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free
91014998,05.01.01.03,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free
92031990,05.01.01.03,Co-amoxiclav 500mg/125mg tablets
92340998,05.01.01.03,Co-amoxiclav 250mg/125mg tablets
93224996,05.01.01.03,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free
93224997,05.01.01.03,Co-amoxiclav 500mg/125mg tablets
93225997,05.01.01.03,Co-amoxiclav 250mg/125mg dispersible tablets sugar free
93849997,05.01.01.03,Co-amoxiclav 1000mg/200mg/100ml infusion bags
93849998,05.01.01.03,Co-amoxiclav 500mg/100mg powder for solution for injection vials
94391979,05.01.01.03,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free
94394979,05.01.01.03,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free
94399979,05.01.01.03,Co-amoxiclav 500mg/125mg tablets
94401979,05.01.01.03,Co-amoxiclav 500mg/125mg tablets
94402979,05.01.01.03,Co-amoxiclav 500mg/125mg tablets
94403979,05.01.01.03,Co-amoxiclav 500mg/125mg tablets
94404979,05.01.01.03,Co-amoxiclav 500mg/125mg tablets
94408979,05.01.01.03,Co-amoxiclav 500mg/125mg tablets
94409979,05.01.01.03,Co-amoxiclav 500mg/125mg tablets
94738990,05.01.01.03,Co-amoxiclav 500mg/100mg powder for solution for injection vials
95028996,05.01.01.03,Co-amoxiclav 1000mg/200mg powder for solution for injection vials
95028997,05.01.01.03,Co-amoxiclav 500mg/100mg powder for solution for injection vials
95029996,05.01.01.03,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free
95029997,05.01.01.03,Amoxicillin with clavulanic acid dispersible tablets
95040990,05.01.01.03,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free
95070990,05.01.01.03,Co-amoxiclav 500mg/125mg tablets
95315990,05.01.01.03,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free
95585990,05.01.01.03,Co-amoxiclav 500mg/125mg tablets
95618990,05.01.01.03,Co-amoxiclav 500mg/125mg tablets
96391990,05.01.01.03,Co-amoxiclav 500mg/125mg tablets
96539988,05.01.01.03,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free
96539989,05.01.01.03,Co-amoxiclav 500mg/125mg tablets
96637989,05.01.01.03,Co-amoxiclav 500mg/125mg tablets
96660996,05.01.01.03,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free
96660997,05.01.01.03,Clavulanic acid with amoxicillin dispersible tablets
96975988,05.01.01.03,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free
96975989,05.01.01.03,Co-amoxiclav 500mg/125mg tablets
97010988,05.01.01.03,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free
97010989,05.01.01.03,Co-amoxiclav 500mg/125mg tablets
97708996,05.01.01.03,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free
97708997,05.01.01.03,Co-amoxiclav 500mg/125mg tablets
97792997,05.01.01.03,Co-amoxiclav 1000mg/200mg powder for solution for injection vials
97792998,05.01.01.03,Co-amoxiclav 500mg/100mg powder for solution for injection vials
99110998,05.01.01.03,Co-amoxiclav 500mg/125mg tablets
99111997,05.01.01.03,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free
99111998,05.01.01.03,Co-amoxiclav 500mg/125mg tablets
99836992,05.01.01.03,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free
93405992,05.01.01.04,Pipril 2 mg inj
94923998,05.01.01.04,Ticarcillin 3g / Clavulanic acid 200mg powder for solution for infusion vials
95510996,05.01.01.04,Piperacillin 4g/infusion bottle infusion
95510997,05.01.01.04,Piperacillin 2g/vial injection
95510998,05.01.01.04,Piperacillin 1g/vial injection
96609992,05.01.01.04,Carfecillin sodium 500 mg tab
96865998,05.01.01.04,Carfecillin 500mg tablets
96931996,05.01.01.04,Azlocillin 5g/vial injection
96931997,05.01.01.04,Azlocillin 1g/vial injection
97245997,05.01.01.04,Ticarcillin & clavulanic acid 1.5g+100mg injection (powder for reconstitution)
97245998,05.01.01.04,Ticarcillin 3g / Clavulanic acid 200mg powder for solution for infusion vials
98089998,05.01.01.04,Azlocillin 2g/vial injection
99001998,05.01.01.04,Carfecillin sodium 500mg tablets
53782979,05.01.01.04,Piperacillin 2g / Tazobactam 250mg powder for solution for injection vials
93108998,05.01.01.04,Piperacillin 2g / Tazobactam 250mg powder for solution for injection vials
93109997,05.01.01.04,Piperacillin 4g / Tazobactam 500mg powder for solution for infusion vials
94354979,05.01.01.04,Piperacillin 4g / Tazobactam 500mg powder for solution for infusion vials
95883992,05.01.01.04,Carbenicillin 1 inj
96879998,05.01.01.04,Carbenicillin 1g injection (powder for reconstitution)
96880998,05.01.01.04,Carbenicillin 1g sterile powder
93108997,05.01.01.04,Piperacillin 4g / Tazobactam 500mg powder for solution for infusion vials
93109998,05.01.01.04,Piperacillin 2g / Tazobactam 250mg powder for solution for injection vials
95164996,05.01.01.04,Ticarcillin 5g injection (powder for reconstitution)
95164998,05.01.01.04,Ticarcillin 1g injection (powder for reconstitution)
95166996,05.01.01.04,Ticarcillin 5g/vial injection
95166998,05.01.01.04,Ticarcillin 1g/vial injection
95490997,05.01.01.05,Pivmecillinam 200mg tablets
95490998,05.01.01.05,Pivmecillinam 100mg/sachet
95921997,05.01.01.05,Mecillinam 400mg/vial injection
98823998,05.01.01.05,Pivmecillinam 200mg tablets
99147998,05.01.01.05,Pivmecillinam hydrochloride 100mg/sachet suspension
87274998,05.01.02.00,Cefuroxime 1.5g with 500mg infusion
93393992,05.01.02.00,Cephradine 250 mg inj
95723992,05.01.02.00,Velosef 125 mg syr
96146992,05.01.02.00,Cephalexin 125 mg tab
96147992,05.01.02.00,Cephradine 125 mg syr
96149992,05.01.02.00,Cephaloridine 250 mg inj
96837996,05.01.02.00,Cefalexin 250mg chewable tablets
97106992,05.01.02.00,Cephaloridine 500 mg inj
97635992,05.01.02.00,Keflex 500 mg inj
91365998,05.01.02.00,Imipenem 500mg / cilastatin 500mg powder for suspension for injection vials
89252996,05.01.02.00,Cefprozil 250mg/5ml oral suspension
89252997,05.01.02.00,Cefprozil 500mg tablets
89252998,05.01.02.00,Cefprozil 250mg tablets
90028997,05.01.02.00,Cefalexin 250mg/5ml syrup
90028998,05.01.02.00,Cefalexin 125mg/5ml syrup
90029996,05.01.02.00,Cefalexin 500mg tablets
90029997,05.01.02.00,Cefalexin 500mg capsules
90029998,05.01.02.00,Cefalexin 250mg capsules
90961998,05.01.02.00,Cefaclor 375mg modified-release tablets
91561996,05.01.02.00,Cefprozil 250mg/5ml oral suspension
91561997,05.01.02.00,Cefprozil 500mg tablets
91561998,05.01.02.00,Cefprozil 250mg tablets
92076996,05.01.02.00,Cefalexin 250mg capsules
92077998,05.01.02.00,Cefalexin 500mg capsules
92531996,05.01.02.00,Ceftazidime 2g powder for solution for injection vials
92531998,05.01.02.00,Ceftazidime 500mg powder for solution for injection vials
92634996,05.01.02.00,Ceftibuten 180mg/5ml suspension
92634997,05.01.02.00,Ceftibuten 90mg/5ml suspension
92634998,05.01.02.00,Ceftibuten 400mg capsules
92635996,05.01.02.00,Ceftibuten 180mg/5ml oral suspension
92635997,05.01.02.00,Ceftibuten 90mg/5ml oral suspension
92635998,05.01.02.00,Ceftibuten 400mg capsules
93030998,05.01.02.00,Cefuroxime 750mg/50ml infusion bags
93245997,05.01.02.00,Cefixime 100mg/5ml paediatric suspension
93533998,05.01.02.00,Cefalexin 1g tablets
93534998,05.01.02.00,Cefalexin 1g tablets
93901998,05.01.02.00,Cefaclor 500mg modified release tablets
94264979,05.01.02.00,Cefuroxime 125mg/sachet granules
94265979,05.01.02.00,Cefuroxime 125mg granules sachets
94791997,05.01.02.00,Cefaclor 500mg modified-release tablets
96833992,05.01.02.00,Ceftazidime intermate inf device
96834998,05.01.02.00,Cefalexin 125mg/1.25ml paediatric drops
96838996,05.01.02.00,Cefuroxime 1.5g/50ml infusion bags
96842998,05.01.02.00,Ceftazidime 250mg powder for solution for injection vials
96844997,05.01.02.00,Cefsulodin 1g/vial sterile powder
96848998,05.01.02.00,Cefoxitin 1g powder for solution for injection vials
96850997,05.01.02.00,Cefazolin 1g powder for solution for injection vials
96850998,05.01.02.00,Cefazolin 500mg powder for solution for injection vials
97097992,05.01.02.00,Ceftizoxime sodium 2 gm inj
97098992,05.01.02.00,Ceftizoxime sodium 1 gm inj
97099992,05.01.02.00,Ceftizoxime sodium .5 gm inj
97102992,05.01.02.00,Cefsulodin sodium & lignocaine 0.5% 1 gm inj
97347997,05.01.02.00,Cefamandole 1g injection (powder for reconstitution)
97347998,05.01.02.00,Cefamandole 500mg injection
97348997,05.01.02.00,Cefazolin 1g injection (powder for reconstitution)
97348998,05.01.02.00,Cefazolin 500mg injection (powder for reconstitution)
97619997,05.01.02.00,Ceftazidime 2g powder for solution for injection vials
97619998,05.01.02.00,Ceftazidime 2g infusion (powder for reconstitution)
97620998,05.01.02.00,Ceftazidime 250mg injection (powder for reconstitution)
97885998,05.01.02.00,Cefalexin 125mg/1.25ml paediatric drops
97886996,05.01.02.00,Cefalexin 250mg/5ml oral suspension
97886997,05.01.02.00,Cefalexin 125mg/5ml oral suspension
98479998,05.01.02.00,Cefodizime 1g injection (powder for reconstitution)
99741998,05.01.02.00,Cefaclor 250mg capsules
99825996,05.01.02.00,Cefotaxime 2g powder for solution for injection vials
99825997,05.01.02.00,Cefotaxime 1g infusion (powder for reconstitution)
99825998,05.01.02.00,Cefotaxime 500mg powder for solution for injection vials
91366998,05.01.02.00,Imipenem & cilastatin 500mg+500mg intramuscular injection (pdr for recon)
91439996,05.01.02.00,Meropenem 1g powder for solution for injection vials
91439997,05.01.02.00,Meropenem 500mg powder for solution for injection vials
91439998,05.01.02.00,Meropenem 250mg injection
91440996,05.01.02.00,Meropenem 1g powder for solution for injection vials
91440997,05.01.02.00,Meropenem 500mg powder for solution for injection vials
94639997,05.01.02.00,Imipenem 500mg / Cilastatin 500mg powder for solution for infusion vials
94640997,05.01.02.00,Imipenem 500mg / Cilastatin 500mg powder for solution for infusion vials
97950992,05.01.02.00,Imipenem & cilastatin 250mg+250mg intravenous infusion (pdr for recon)
96928998,05.01.02.00,Aztreonam 2g/vial infusion
52129979,05.01.02.01,Cefuroxime 50mg powder for solution for injection vials
82201978,05.01.02.01,Ceftriaxone 2g powder for solution for injection vials
82240978,05.01.02.01,Ceftriaxone 2g powder for solution for injection vials
82660998,05.01.02.01,Cefalexin 500mg/5ml oral suspension
82661998,05.01.02.01,Cefalexin 250mg/5ml oral suspension
82662998,05.01.02.01,Cefalexin 125mg/5ml oral suspension
82663998,05.01.02.01,Cefalexin 500mg capsules
82664998,05.01.02.01,Cefalexin 250mg capsules
82665998,05.01.02.01,Cefalexin 500mg tablets
82666998,05.01.02.01,Cefalexin 250mg tablets
85280998,05.01.02.01,Cefuroxime (as axetil) 500mg tablets
85940998,05.01.02.01,Ceftazidime 1g powder for solution for injection vials
85943998,05.01.02.01,Cefalexin 250mg/5ml oral suspension
85944998,05.01.02.01,Cefalexin 125mg/5ml oral suspension
85945998,05.01.02.01,Cefalexin 500mg capsules
85946998,05.01.02.01,Cefalexin 250mg capsules
85947998,05.01.02.01,Cefalexin 500mg tablets
85948998,05.01.02.01,Cefalexin 250mg tablets
85949998,05.01.02.01,Cefaclor 500mg capsules
85950998,05.01.02.01,Cefaclor 250mg/5ml oral suspension
85951998,05.01.02.01,Cefaclor 125mg/5ml oral suspension
85952998,05.01.02.01,Cefaclor 375mg modified-release tablets
87657998,05.01.02.01,Cefalexin 125mg/5ml oral suspension sugar free
87658998,05.01.02.01,Cefalexin 250mg/5ml oral suspension sugar free
88222998,05.01.02.01,Cefaclor 250mg/5ml oral suspension
88245996,05.01.02.01,Cefaclor 125mg/5ml oral suspension
88245997,05.01.02.01,Cefaclor 500mg capsules
88245998,05.01.02.01,Cefaclor 250mg capsules
88392997,05.01.02.01,Cefradine 500mg capsules
88392998,05.01.02.01,Cefradine 250mg capsules
88818998,05.01.02.01,Cefaclor 250mg/5ml oral suspension sugar free
89041997,05.01.02.01,Cefotaxime 2g powder for solution for injection vials
89041998,05.01.02.01,Cefotaxime 1g powder for solution for injection vials
89452996,05.01.02.01,Cefaclor 125mg/5ml oral suspension sugar free
89452997,05.01.02.01,Cefaclor 500mg capsules
89452998,05.01.02.01,Cefaclor 250mg capsules
92531997,05.01.02.01,Ceftazidime 1g powder for solution for injection vials
93101990,05.01.02.01,Cefalexin 500mg tablets
93193998,05.01.02.01,Cefuroxime 1.5g powder for injection vials
93245998,05.01.02.01,Cefixime 200mg tablets
93246997,05.01.02.01,Cefixime 100mg/5ml oral suspension
93246998,05.01.02.01,Cefixime 200mg tablets
93529997,05.01.02.01,Cefalexin 500mg capsules
93529998,05.01.02.01,Cefalexin 250mg capsules
93776996,05.01.02.01,Ceftriaxone 2g powder for solution for injection vials
93776997,05.01.02.01,Ceftriaxone 1g/50ml infusion bags
93776998,05.01.02.01,Ceftriaxone 250mg powder for solution for injection vials
93901997,05.01.02.01,Cefaclor 375mg modified-release tablets
94174990,05.01.02.01,Cefalexin 250mg capsules
94208992,05.01.02.01,Keflex-c 125 mg tab
94241979,05.01.02.01,Cefalexin 250mg/5ml oral suspension sugar free
94256979,05.01.02.01,Cefalexin 500mg capsules
94258979,05.01.02.01,Cefalexin 250mg capsules
94484992,05.01.02.01,Keflex-c 250 mg tab
94565992,05.01.02.01,Cefaclor 375mg modified-release tablets
94568990,05.01.02.01,Ceftazidime 1g powder for solution for injection vials
94642990,05.01.02.01,Cefalexin 250mg tablets
94643990,05.01.02.01,Cefalexin 250mg/5ml oral suspension sugar free
94644990,05.01.02.01,Cefalexin 125mg/5ml oral suspension sugar free
94729996,05.01.02.01,Cefalexin 250mg/5ml oral suspension
94729997,05.01.02.01,Cefalexin 125mg/5ml oral suspension
94729998,05.01.02.01,Cefalexin 500mg capsules
94730996,05.01.02.01,Cefalexin 250mg capsules
94730997,05.01.02.01,Cefalexin 500mg tablets
94730998,05.01.02.01,Cefalexin 250mg tablets
94791998,05.01.02.01,Cefaclor 375mg modified-release tablets
94870998,05.01.02.01,Cefaclor 500mg capsules
94873996,05.01.02.01,Cefaclor 250mg/5ml oral suspension sugar free
94873997,05.01.02.01,Cefaclor 125mg/5ml oral suspension sugar free
94873998,05.01.02.01,Cefaclor 500mg capsules
94904996,05.01.02.01,Cefuroxime 125mg/5ml oral suspension
94904997,05.01.02.01,Cefuroxime 250mg tablets
94904998,05.01.02.01,Cefuroxime 125mg tablets
94915996,05.01.02.01,Cefuroxime 125mg/5ml oral suspension
94915997,05.01.02.01,Cefuroxime 250mg tablets
94915998,05.01.02.01,Cefuroxime 125mg tablets
95622990,05.01.02.01,Cefradine 250mg capsules
95798990,05.01.02.01,Cefradine 500mg capsules
95799990,05.01.02.01,Cefradine 250mg capsules
95815990,05.01.02.01,Cefradine 500mg capsules
95816990,05.01.02.01,Cefradine 250mg capsules
96275990,05.01.02.01,Cefalexin 250mg tablets
96277990,05.01.02.01,Cefalexin 250mg/5ml oral suspension sugar free
96431989,05.01.02.01,Cefradine 500mg capsules
96431990,05.01.02.01,Cefradine 250mg capsules
96433988,05.01.02.01,Cefalexin 500mg capsules
